Date,Price,Open,High,Low,Change %
2016-06-01,0.25380710659898476,3.884,3.996,3.7875,3.45%
2016-07-01,0.25664057487488773,3.95,4.0085,3.8187,-1.10%
2016-08-01,0.25214957512796593,3.9645,4.0275,3.7797,1.78%
2016-09-01,0.2541683611224075,3.9559,4.0605,3.7797,-0.79%
2016-10-01,0.2518891687657431,4.0,4.0648,3.8541,0.90%
2016-11-01,0.2336175680411167,3.975,4.48,3.7549,7.82%
2016-12-01,0.23380327792195646,4.2,4.445,3.9895,-0.08%
2017-01-01,0.2301125250247371,4.3038,4.4225,4.131,1.60%
2017-02-01,0.21321961620469082,4.28,4.73,4.26,7.92%
2017-03-01,0.23062198750028828,4.695,4.81,4.215,-7.55%
2017-04-01,0.23703422774248603,4.35,4.395,4.065,-2.71%
2017-05-01,0.23111234371027756,4.15,4.51,4.115,2.56%
2017-06-01,0.22847742643026867,4.325,4.4713,4.25,1.15%
2017-07-01,0.22883295194508008,4.4175,4.46,4.29,-0.16%
2017-08-01,0.22743813682678313,4.4175,4.4775,4.2864,0.61%
2017-09-01,0.22893772893772893,4.43,4.4502,4.3375,-0.66%
2017-10-01,0.22779043280182235,4.43,4.5275,4.3573,0.50%
2017-11-01,0.22075055187637968,4.3875,4.65,4.3795,3.19%
2017-12-01,0.22114108801415303,4.55,4.595,4.4075,-0.18%
2018-01-01,0.22246941045606228,4.5378,4.5775,4.475,-0.60%
2018-02-01,0.2244668911335578,4.5525,4.5525,4.385,-0.89%
2018-03-01,0.226628895184136,4.4825,4.5,4.395,-0.95%
2018-04-01,0.22246941045606228,4.4167,4.51,4.3985,1.87%
2018-05-01,0.21198566976872366,4.5,4.7375,4.43,4.95%
2018-06-01,0.20986799303238263,4.7273,4.85,4.63,1.01%
2018-07-01,0.21208907741251326,4.78,4.85,4.7075,-1.05%
2018-08-01,0.21119324181626187,4.74,4.905,4.6935,0.42%
2018-09-01,0.20942408376963348,4.815,5.0055,4.715,0.84%
2018-10-01,0.2071079446607572,4.805,4.98,4.71,1.12%
2018-11-01,0.20393180520433968,4.855,5.0005,4.7807,1.56%
2018-12-01,0.20746887966804978,4.905,5.0023,4.7543,-1.70%
2019-01-01,0.20287679292365746,4.876,5.1,4.8134,2.26%
2019-02-01,0.18200018200018198,4.9513,5.5547,4.8938,11.47%
2019-03-01,0.1823785814593934,5.215,5.8675,4.95,-0.21%
2019-04-01,0.19452225334578277,5.52,5.52,4.98,-6.24%
2019-05-01,0.18537055574092612,5.2,5.4658,4.99,4.94%
2019-06-01,0.1841620626151013,5.31,5.5,5.1674,0.66%
2019-07-01,0.1858736059479554,5.4,5.485,5.205,-0.92%
2019-08-01,0.18348623853211007,5.3987,5.52,5.29,1.30%
2019-09-01,0.18450184501845018,5.445,5.5353,5.335,-0.55%
2019-10-01,0.18365472910927455,5.365,5.55,5.32,0.46%
2019-11-01,0.18083182640144665,5.445,5.6425,5.3525,1.56%
2019-12-01,0.17667844522968199,5.585,5.845,5.495,2.35%
2020-01-01,0.18227552768765265,5.66,5.786,5.435,-3.07%
2020-02-01,0.182955834461561,5.5,5.575,5.205,-0.37%
2020-03-01,0.17346053772766695,5.4,5.92,5.295,5.47%
2020-04-01,0.17316017316017315,5.725,5.95,5.615,0.17%
2020-05-01,0.17286084701815038,5.74,5.8975,5.63,0.17%
2020-06-01,0.17286084701815038,5.785,5.875,5.625,0.00%
2020-07-01,0.1736111111111111,5.785,5.85,5.665,-0.43%
2020-08-01,0.17301038062283736,5.775,5.8375,5.685,0.35%
2020-09-01,0.17271157167530224,5.78,5.86,5.685,0.17%
2020-10-01,0.1716001716001716,5.835,5.884,5.765,0.65%
2020-11-01,0.17035775127768313,5.855,5.97,5.775,0.73%
2020-12-01,0.17123287671232876,5.86,5.99,5.7675,-0.51%
2021-01-01,0.17196904557179707,5.88,5.905,5.77,-0.43%
2021-02-01,0.17452006980802792,5.825,5.87,5.7275,-1.46%
2021-03-01,0.17391304347826086,5.75,5.88,5.6925,0.35%
2021-04-01,0.1736111111111111,5.78,5.83,5.6625,0.17%
2021-05-01,0.17301038062283736,5.78,5.825,5.72,0.35%
2021-06-01,0.17094017094017094,5.78,5.935,5.745,1.21%
2021-07-01,0.16722408026755853,5.89,6.02,5.78,2.22%
2021-08-01,0.16556291390728478,5.98,6.095,5.77,1.00%
2021-09-01,0.1652892561983471,6.04,6.1175,5.805,0.17%
2021-10-01,0.1636661211129296,6.01,6.27,5.935,0.99%
2021-11-01,0.16299918500407498,6.1,6.235,5.96,0.41%
2021-12-01,0.16260162601626016,6.15,6.28,6.0375,0.24%
2022-01-01,0.1593625498007968,6.15,6.3863,5.9975,2.03%
2022-02-01,0.14869888475836432,6.2,6.86,6.05,7.17%
2022-03-01,0.13289036544850497,6.785,7.675,6.625,11.90%
2022-04-01,0.13289036544850497,7.575,7.6925,7.275,0.00%
2022-05-01,0.12820512820512822,7.525,7.85,7.25,3.65%
2022-06-01,0.12461059190031153,7.775,8.085,7.6,2.88%
2022-07-01,0.1183431952662722,8.025,8.575,7.825,5.30%
2022-08-01,0.09900990099009901,8.45,10.11,8.25,19.53%
2022-09-01,0.0963855421686747,9.925,10.45,9.675,2.72%
2022-10-01,0.07142857142857142,10.45,14.05,10.13,34.94%
2022-11-01,0.06944444444444445,14.0,14.775,13.125,2.86%
2022-12-01,0.1002004008016032,14.4,14.4,8.25,-30.69%
2023-01-01,0.08,10.3,12.5,9.75,25.25%
2023-02-01,0.07782101167315175,12.3,12.95,11.9,2.80%
2023-03-01,0.08658008658008658,12.85,12.95,11.45,-10.12%
2023-04-01,0.0847457627118644,11.75,12.45,10.55,2.16%
2023-05-01,0.08888888888888889,11.75,12.275,10.4,-4.66%
2023-06-01,0.08830022075055188,11.25,11.6,10.81,0.67%
2023-07-01,0.08833922261484099,11.3,11.835,10.93,-0.04%
2023-08-01,0.0881057268722467,11.32,11.625,11.05,0.27%
2023-09-01,0.08658008658008658,11.35,11.8,11.275,1.76%
2023-10-01,0.08417508417508417,11.505,11.975,11.425,2.86%
2023-11-01,0.08368200836820085,11.875,12.135,11.75,0.59%
2023-12-01,0.08403361344537814,12.0,12.1505,11.85,-0.42%
2024-01-01,0.08130081300813008,11.95,12.445,11.83,3.36%
2024-02-01,0.07936507936507936,12.34,12.83,12.225,2.44%
2024-03-01,0.07575757575757576,12.65,13.39,12.525,4.76%
2024-04-01,0.07342143906020558,13.25,14.15,13.15,3.18%
2024-05-01,0.06756756756756756,13.67,14.9097,13.54,8.66%
2024-06-01,0.06557377049180328,14.75,15.45,14.65,3.04%
2024-07-01,0.06451612903225806,15.25,15.82,15.175,1.64%
2024-08-01,0.06418485237483953,15.55,16.1475,15.4,0.52%
2024-09-01,0.06349206349206349,15.65,15.89,15.535,1.09%
2024-10-01,0.06153846153846154,15.8,16.525,15.67,3.17%
2024-11-01,0.06578947368421052,16.3,16.4925,15.2,-6.46%
2024-12-01,0.06825938566552901,15.37,15.735,14.55,-3.62%
2025-01-01,0.06557377049180328,14.7,15.425,14.625,4.10%
2025-02-01,0.06472491909385114,15.35,15.95,15.25,1.31%
